bus_id,component_id
sub_siquijor_island_power_corporation_substation_76_F2_B5,36
sub_siquijor_island_power_corporation_substation_76_F3_B0,36
sub_siquijor_island_power_corporation_substation_76_F3_B1,36
sub_siquijor_island_power_corporation_substation_76_F3_B2,36
sub_siquijor_island_power_corporation_substation_76_F3_B3,36
sub_maasin_substation_19_F0_B0,0
sub_maasin_substation_19_F0_B1,0
sub_maasin_substation_19_F0_B2,0
sub_maasin_substation_19_F0_B3,0
sub_maasin_substation_19_F0_B4,0
sub_maasin_substation_19_F0_B5,0
sub_maasin_substation_19_F1_B0,0
sub_maasin_substation_19_F1_B1,0
sub_maasin_substation_19_F1_B2,0
sub_maasin_substation_19_F1_B3,0
sub_maasin_substation_19_F2_B0,0
sub_maasin_substation_19_F2_B1,0
sub_maasin_substation_19_F3_B0,0
sub_maasin_substation_19_F3_B1,0
sub_maasin_substation_19_F3_B2,0
sub_maasin_substation_19_F3_B3,0
sub_maasin_substation_19_F3_B4,0
sub_maasin_substation_19_F3_B5,0
sub_maasin_terminal_submerged_lines_59_F0_B0,0
sub_maasin_terminal_submerged_lines_59_F0_B1,0
sub_maasin_terminal_submerged_lines_59_F0_B2,0
sub_maasin_terminal_submerged_lines_59_F0_B3,0
sub_maasin_terminal_submerged_lines_59_F0_B4,0
sub_maasin_terminal_submerged_lines_59_F0_B5,0
sub_maasin_terminal_submerged_lines_59_F1_B0,0
sub_maasin_terminal_submerged_lines_59_F3_B0,0
sub_maasin_terminal_submerged_lines_59_F3_B1,0
sub_maasin_terminal_submerged_lines_59_F3_B2,0
sub_maasin_terminal_submerged_lines_59_F3_B3,0
sub_maasin_terminal_submerged_lines_59_F3_B4,0
sub_maasin_terminal_submerged_lines_59_F3_B5,0
sub_osm_3_F1_B0,48
sub_osm_3_F1_B1,48
sub_osm_3_F1_B2,48
sub_osm_3_F1_B3,48
sub_osm_3_F1_B4,48
sub_osm_3_F1_B5,48
sub_osm_3_F2_B0,48
sub_osm_3_F2_B1,48
sub_osm_3_F2_B2,48
sub_osm_3_F2_B3,48
sub_osm_3_F2_B4,48
sub_osm_3_F2_B5,48
sub_osm_3_F3_B0,48
sub_osm_3_F3_B1,48
sub_osm_3_F3_B2,48
sub_osm_3_F3_B3,48
sub_osm_3_F3_B4,48
sub_osm_3_F3_B5,48
v1_07corella,0
v1_07tapal,0
v1_05cebu,3
v1_05daanbntay,4
v1_05naga,0
v1_05therma,0
v1_08bvista,1
v1_04babatngn,0
v1_04kananga,0
v1_04tongona,0
v1_06bacolod,0
v1_06gahit,33
v1_06kabankalan,0
v1_06mabinay,0
v1_06pgpp1,0
v1_06pgpp2,0
v1_08bantap,1
v1_08barotac,1
v1_08dingle,1
v1_08iloilo1,1
v1_08nabas,1
v1_08panitan,1
v1_08snjose,1
v1_08stbarbra,1
sub_osm_4_F0_B0,1
sub_osm_4_F0_B1,1
sub_osm_4_F0_B2,1
sub_osm_4_F0_B3,1
sub_osm_4_F0_B4,1
sub_osm_4_F0_B5,1
sub_osm_4_F1_B0,1
sub_osm_4_F1_B1,1
sub_osm_4_F1_B2,1
sub_osm_4_F1_B3,1
sub_osm_4_F1_B4,1
sub_osm_4_F1_B5,1
sub_osm_4_F2_B0,1
sub_osm_4_F2_B1,1
sub_osm_4_F2_B2,1
sub_osm_4_F2_B3,1
sub_osm_4_F2_B4,1
sub_osm_4_F2_B5,1
sub_osm_4_F3_B0,1
sub_osm_4_F3_B1,1
sub_osm_4_F3_B2,1
sub_osm_4_F3_B3,1
sub_osm_4_F3_B4,1
sub_osm_4_F3_B5,1
v1_08bantap_F0_B0,1
v1_08bantap_F0_B1,1
v1_08bantap_F0_B2,1
v1_08bantap_F0_B3,1
v1_08bantap_F0_B4,1
v1_08bantap_F0_B5,1
v1_08bantap_F1_B0,1
v1_08bantap_F1_B1,1
v1_08bantap_F1_B2,1
v1_08bantap_F1_B3,1
v1_08bantap_F1_B4,1
v1_08bantap_F1_B5,1
v1_08bantap_F2_B0,1
v1_08bantap_F2_B1,1
v1_08bantap_F2_B2,1
v1_08bantap_F2_B3,1
